,order_id,local_date,sku,sku_count,sku_id_count
32,807533173,2022-07-01,"902130,900062,917125,900087",4,4
33,807391018,2022-07-01,"905130,917936,912467,902632,903157,903151,900442",7,7
34,807139002,2022-07-01,"907521,915684,910208,906058,911331,916827,902435",7,7
35,806887700,2022-07-01,"907074,900737,914504",3,3
36,806695833,2022-07-01,"910446,912760,903129",3,3
37,807190080,2022-07-01,"915479,908294,908059",3,3
38,807203264,2022-07-01,"908223,904779,900152,905678,914370,904346,916565",7,7
39,807315922,2022-07-01,"900062,916161,908066,902527,915265,906012,902530,900341,917007",9,9
40,807168450,2022-07-01,"901804,909873,918023,908066,915821,902538,916885,918018,906348,900127,916640,900443,910389",13,13
41,806892724,2022-07-01,"901061,913364,902791",3,3
42,807037776,2022-07-01,"900356,900345,902520",3,3
43,807563217,2022-07-01,"902450,912461,903136,916695,918201,902041,901699,912757,912767,908719,912467,906058,912460,901134,912775,908059,903129,902039,910218,917458,901108,902435,901120,917460",24,24
44,806954236,2022-07-01,"911505,901070,912207",3,3
45,807527155,2022-07-01,918049,1,1
46,806884246,2022-07-01,913494,1,1
47,806741343,2022-07-01,"902111,915384,913587,901611,912976",5,5
48,807547480,2022-07-01,"900352,914615,900354,908059",4,4
49,806891556,2022-07-01,"900353,902924,903930,900349,902048",5,5
50,807006811,2022-07-01,"911034,902450,917002,901134,902513,907414",6,6
51,807441394,2022-07-01,"902111,908060,900349,912768,912734",5,5
52,806940858,2022-07-01,"917002,903691,911994,918158,910312,913415",6,6
53,806695260,2022-07-01,"902111,902136,900592,903125,912761,901127,909485,915464,903150,901829,903152,901828",12,12
54,807577626,2022-07-01,"916360,900356,902130,908940,912955,901463,903126,915650,900297,903157,908059,906975,906982,912468,901829,906793,901869,900437,901871",19,19
55,806776936,2022-07-01,"918164,906059,905359,901082",4,4
56,807613222,2022-07-01,"913399,913398,902399,905678,901935,906010,902149,913396,908513",9,9
57,807621741,2022-07-01,"903112,916607,916059,918201,902527,905678,902449,909992,900339,907918,900340,900416",12,12
58,806892614,2022-07-01,916689,1,1
59,807566439,2022-07-01,"905659,900046,901780,900061,909612,901781",6,6
60,806694933,2022-07-01,"900436,901761,903126,902129,904518,916359",6,6
61,806889397,2022-07-01,"902443,915152,910436,902442,913671,913670,901209",7,7
62,807367025,2022-07-01,918541,1,1
63,807574663,2022-07-01,"910070,909464,900393,901835,915876,902144,900330,908728,903152,901871",10,10
64,807213276,2022-07-01,"916175,909458,917219,912059",4,4
65,807462466,2022-07-01,"913419,910748,917638,915209,918543,918540,905703,907414",8,8
66,806632215,2022-07-01,"903137,908060,912701,900339",4,4
67,806924163,2022-07-01,"903691,916424,902576,906326,914667,913179,906941",7,7
68,807429130,2022-07-01,914667,1,1
69,807014207,2022-07-01,"917279,914239,913291,913290",4,4
70,806626316,2022-07-01,"914681,900351,902538,901657,900511,901871",6,6
71,806937062,2022-07-01,"902465,904017,916634,903150",4,4
72,806693800,2022-07-01,"903142,917807,900330,904146,902126,901869",6,6
73,807172742,2022-07-01,"902294,905678,907414",3,3
74,807397062,2022-07-01,"911469,908059,903210",3,3
75,807133773,2022-07-01,"900136,900134,900135",3,3
76,807215383,2022-07-01,"904959,912124,901609,913055,900540,905276",6,6
77,807442673,2022-07-01,"902111,900345,912467,905129,908059,911724,901869,908061",8,8
78,806867239,2022-07-01,"905843,902188,909200,902442,902454,909626,901163,901077,903211",9,9
79,807217356,2022-07-01,"916965,903136,902130,914745,914754,900220,908788,900349,908059,902128,910321,901291",12,12
80,806709668,2022-07-01,918548,1,1
81,806621647,2022-07-01,"ant121,ant079,ant373",3,3
82,807548722,2022-07-01,"902450,904558,902449,913391,903469",5,5
83,807586341,2022-07-01,"912760,900071,900344,912767,900985,912419,918364,912768,912756,900340,912766",11,11
84,806859315,2022-07-01,901740,1,1
85,806789115,2022-07-01,"908460,916280,909320,913225,900338,916279",6,6
86,807160888,2022-07-01,"908434,915479,913591,906954,917144,902577,900439,913364,901407,907423,917850,906982,913824,908431,908433,902142",16,16
87,806824458,2022-07-01,"905556,900349,902405",3,3
88,806627037,2022-07-01,"902406,912124,912955,901071,900504,900502,906995,911816",8,8
89,806739719,2022-07-01,"917983,900061,912468",3,3
90,806708182,2022-07-01,"900385,902949,901832,915789,901835,900502,900349,900339,901869,900338,900340,903154",12,12
91,806890656,2022-07-01,"911163,902529,918541",3,3
92,807456323,2022-07-01,"909543,909577,908519",3,3
93,806941747,2022-07-01,"903730,909224,901075,905412",4,4
94,806633743,2022-07-01,"901718,903125,903131,903157,903152",5,5
95,806786739,2022-07-01,"902148,903126,912467,901740",4,4
96,806816460,2022-07-01,"914677,900116,906995",3,3
97,807187082,2022-07-01,"902467,917003,902420,902449,917010,901134,917001,910876,902142,913447",10,10
98,806692509,2022-07-01,914672,1,1
99,806717593,2022-07-01,"916965,902130,901832,900451,904146,903157,908059,910122,904518",9,9
